Name,Query,SQL,Table and column used
List of Commodity,Give me List of commodity that India deal in year 2018/19,select distinct commodity from output_schema.cmd_trd_dft where year = 201819 and pct_change_yr_compr=0;,"Table 1: output_schema.cmd_trd_dft
Columns used: commodity, year, pct_change_yr_compr"
Total Trade deficit of all commodities,Total commodity trade deficit in year 2024/25,"select sum(trd_dft_inr_cr) as trd_dft_2025 from output_schema.cmd_trd_dft where year = 202425 and pct_change_yr_compr=0 group by year, pct_change_yr_compr;","Table 1: output_schema.cmd_trd_dft
Columns used: commodity, year, pct_change_yr_compr, trd_dft_inr_cr"
All time export for a commodity I,Total export for commodity with hscode 71 across the years,select sum(exp_inr_cr) as total_exp_acrss_yr from output_schema.cmd_trd_dft where pct_change_yr_compr = 0 and hscode = 71 group by hscode;,"Table 1: output_schema.cmd_trd_dft
Columns used: exp_inr_cr, pct_change_yr_compr, hscode"
All time export for a commodity II,Total export for  FERTILISERS. commodity across the years,select sum(exp_inr_cr) as total_exp_acrss_yr from output_schema.cmd_trd_dft where pct_change_yr_compr = 0 and commodity='FERTILISERS.' group by commodity;,"Table 1: output_schema.cmd_trd_dft
Columns used: exp_inr_cr, pct_change_yr_compr, commodity"
Top 10 commodity with highest export,Give me list of top 10 commodities with how much they export in inr crore with highest export in year 2019/20,"select commodity, exp_inr_cr from output_schema.cmd_trd_dft where pct_change_yr_compr = 0 and year = 201920 order by exp_inr_cr desc limit 10;","Table 1: output_schema.cmd_trd_dft
Columns used: exp_inr_cr, pct_change_yr_compr, commodity, year"
Import greater than 10 percent,List of commodities and there percentage in import share whose percentage import share is greater than 10 trade deficit in year 2024/25,"select commodity, imp_pct_share from output_schema.cmd_trd_dft where pct_change_yr_compr = 0 and year = 201920 and imp_pct_share>10;","Table 1: output_schema.cmd_trd_dft
Columns used: imp_pct_share, pct_change_yr_compr, year, commodity"
Highest trade deficit growth than last year ,Which commodity has he highest growth percentage than last year in trade deficit for year 2023/24,"select commodity, trd_dft_pct_change from output_schema.cmd_trd_dft where pct_change_yr_compr = 1 and year = 202324 order by trd_dft_pct_change desc limit 1;","Table 1: output_schema.cmd_trd_dft
Columns used: trd_dft_pct_change, pct_change_yr_compr, year, commodity"
Growth every year in export,List of commodities which has shown growth in export for every year as compare to last year till 2024/25,"WITH valid_growth AS (
    SELECT
        commodity,
        hscode,
        year,
        exp_pct_change
    FROM output_schema.cmd_trd_dft
    where pct_change_yr_compr = 1
)
SELECT commodity
FROM valid_growth
GROUP BY hscode,commodity
HAVING COUNT(*) = COUNT(CASE WHEN exp_pct_change > 0 THEN 1 END);","Table 1: output_schema.cmd_trd_dft
Columns used: year, commodity, hscode, exp_pct_change"
Always be positive trade deficit,List of coomdities whose trade deficit is positive for all the years till 202425,"SELECT commodity
FROM (
  SELECT
    commodity,
    hscode,
    year,
    trd_dft_inr_cr
FROM output_schema.cmd_trd_dft
where pct_change_yr_compr = 0
)
GROUP BY hscode,commodity
HAVING COUNT(*) = COUNT(CASE WHEN trd_dft_inr_cr > 0 THEN 1 END);","Table 1: output_schema.cmd_trd_dft
Columns used: year, commodity, hscode, trd_dft_inr_cr"
Five years import growth,List of commodities for which increase in import is greater than 10 percent as campare to five year ago for year 2022/23,"select commodity, year, imp_pct_change from output_schema.cmd_trd_dft where imp_pct_change > 10 and pct_change_yr_compr=5 and year = 202223;","Table 1: output_schema.cmd_trd_dft
Columns used: year, commodity, imp_pct_change, pct_change_yr_compr"
List of Countries,Give me List of countries that India deal in year 2021/22,select distinct country from output_schema.cntry_trd_dft where year = 202122 and pct_change_yr_compr=0;,"Table 1: output_schema.cntry_trd_dft
Columns used: country, year, pct_change_yr_compr"
